                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.7162,                 1.7019,                 1.8838,                0.58719,                0.45289,                0.40999,                 0.2307,                  2.102,                 1.9977,                 1.9452,               0.000406,               0.000406,               0.000406
                     62,                  1.752,                 1.7347,                 1.8911,                0.35807,                0.42991,                 0.3877,                0.20891,                 2.1456,                 1.9807,                 1.9886,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.7798,                 1.7807,                 1.9141,                0.38123,                0.40808,                0.35969,                0.19315,                 2.1711,                 2.1591,                 2.0527,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.6629,                 1.6717,                 1.8298,                0.62616,                0.46274,                0.40115,                0.22833,                 2.0794,                 2.0861,                 1.9741,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.7123,                 1.6711,                 1.8391,                0.60891,                0.43528,                 0.4131,                0.24249,                  2.014,                  1.915,                 1.8452,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.7202,                 1.6626,                 1.8451,                0.57663,                0.42591,                0.40807,                0.24026,                 2.1325,                 1.9962,                 1.8937,              0.0003565,              0.0003565,              0.0003565
                     67,                  1.701,                 1.6692,                 1.8828,                0.59701,                0.39265,                 0.3967,                0.23301,                 2.1604,                 2.1363,                 1.9725,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.6624,                 1.6323,                 1.8379,                0.60552,                0.42832,                0.42829,                0.23527,                 2.1416,                 1.9006,                  1.909,              0.0003367,              0.0003367,              0.0003367
                     69,                  1.749,                    1.7,                 1.8299,                0.59667,                  0.438,                0.43753,                0.22873,                 2.1513,                 1.9209,                  1.948,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.6565,                 1.6474,                 1.7983,                0.64797,                0.34941,                0.47002,                0.23059,                 2.1732,                 1.9368,                 1.9067,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.6331,                 1.5849,                 1.7772,                0.40314,                 0.5536,                0.48293,                 0.2549,                 2.0556,                 1.7423,                 1.7493,               0.000307,               0.000307,               0.000307
                     72,                 1.6948,                 1.6415,                 1.8054,                0.37064,                0.56351,                0.48197,                0.26228,                 2.0226,                 1.6842,                  1.708,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.6959,                 1.6341,                 1.8876,                  0.345,                0.53324,                0.44809,                0.23638,                 2.0848,                 1.7833,                 1.7442,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.5863,                 1.5431,                 1.7238,                0.63004,                0.31558,                0.42561,                0.23188,                 2.0588,                 1.8708,                 1.7405,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.6296,                 1.6218,                 1.7846,                0.55494,                0.48102,                0.47451,                0.27149,                 1.9766,                 1.7301,                 1.7263,              0.0002674,              0.0002674,              0.0002674
                     76,                   1.59,                 1.5387,                 1.7206,                 0.5091,                0.45235,                0.46095,                0.26595,                 2.0153,                 1.7725,                 1.7775,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.6637,                 1.6499,                 1.7639,                0.61094,                0.39002,                0.46199,                0.26392,                 2.0352,                 1.8293,                 1.7811,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.6184,                 1.5479,                 1.7784,                0.55446,                0.49833,                0.51748,                0.28351,                 1.9643,                 1.6342,                 1.7005,              0.0002377,              0.0002377,              0.0002377
                     79,                 1.7517,                 1.7739,                 1.8841,                0.56137,                0.50755,                0.50595,                0.27579,                 1.9547,                  1.657,                 1.7191,              0.0002278,              0.0002278,              0.0002278
                     80,                 1.6059,                 1.5288,                 1.7243,                0.52609,                0.51941,                0.50527,                0.26831,                 1.9951,                 1.6543,                 1.7105,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.5521,                 1.4856,                 1.6743,                0.50643,                0.52983,                0.51328,                 0.2715,                 1.9981,                 1.6447,                 1.7034,               0.000208,               0.000208,               0.000208
                     82,                 1.5348,                 1.5501,                  1.745,                 0.4657,                0.50955,                0.49098,                0.28067,                 1.9062,                  1.612,                 1.6602,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.6117,                  1.546,                 1.7533,                0.44586,                 0.5307,                0.51476,                0.29266,                 1.8709,                 1.5084,                 1.6366,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.6024,                 1.5871,                 1.7513,                0.45092,                0.52249,                0.52904,                0.29717,                 1.8912,                 1.4668,                 1.6397,              0.0001783,              0.0001783,              0.0001783
                     85,                  1.502,                 1.4791,                 1.7368,                0.45431,                0.53059,                0.54459,                0.29019,                  1.968,                 1.5222,                 1.6758,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.5364,                 1.5449,                 1.7528,                0.45822,                0.50109,                0.47504,                0.26197,                 2.0024,                  1.746,                 1.7109,              0.0001585,              0.0001585,              0.0001585
                     87,                 1.6346,                 1.5923,                 1.7004,                 0.4765,                0.52116,                0.48579,                0.26961,                 1.9727,                 1.7155,                 1.7027,              0.0001486,              0.0001486,              0.0001486
                     88,                 1.5654,                 1.5265,                 1.7182,                0.48974,                0.53798,                0.52844,                0.30221,                 1.8742,                 1.5514,                 1.6302,              0.0001387,              0.0001387,              0.0001387
